"Category","Order Date","Segment","Number of Records","Sales Target","Column6","Updated_Order_Date"
Office Supplies,"1/4/11",Consumer,1,"14.96768","","2011-04-01"
Office Supplies,"1/5/11",Home Office,1,"299.5824","","2011-05-01"
Office Supplies,"1/6/11",Consumer,1,"20.90352","","2011-06-01"
Furniture,"1/7/11",Home Office,1,"2,316.44","","2011-07-01"
Office Supplies,"1/7/11",Consumer,1,"16.9128","","2011-07-01"
Office Supplies,"1/7/11",Corporate,1,"13.9302","","2011-07-01"
Office Supplies,"1/7/11",Home Office,1,"698.8384","","2011-07-01"
Technology,"1/7/11",Home Office,1,"1,067.58","","2011-07-01"
Furniture,"1/8/11",Consumer,1,"81.33168","","2011-08-01"
Office Supplies,"1/8/11",Consumer,1,"11.0558","","2011-08-01"
Office Supplies,"1/10/11",Consumer,1,"8.68992","","2011-10-01"
Technology,"1/10/11",Consumer,1,"28.704","","2011-10-01"
Furniture,"1/11/11",Corporate,1,"47.2654","","2011-11-01"
Office Supplies,"1/11/11",Corporate,1,"2.5143","","2011-11-01"
Furniture,"1/12/11",Consumer,1,"8.7472","","2011-12-01"
Furniture,"1/14/11",Consumer,1,"791.9451","","2011-14-01"
Office Supplies,"1/14/11",Consumer,1,"1,386.60","","2011-14-01"
Office Supplies,"1/14/11",Corporate,1,"570.0628","","2011-14-01"
Technology,"1/14/11",Corporate,1,"595.0008","","2011-14-01"
Furniture,"1/15/11",Corporate,1,"65.6776","","2011-15-01"
Technology,"1/16/11",Consumer,1,"143.952","","2011-16-01"
Furniture,"1/17/11",Consumer,1,"109.30944","","2011-17-01"
Office Supplies,"1/17/11",Consumer,1,"49.1466","","2011-17-01"
Technology,"1/17/11",Consumer,1,"111.78","","2011-17-01"
Office Supplies,"1/19/11",Corporate,1,"66.16128","","2011-19-01"
Furniture,"1/20/11",Consumer,1,"157.8789","","2011-20-01"
Office Supplies,"1/20/11",Consumer,1,"183.32532","","2011-20-01"
Furniture,"1/21/11",Consumer,1,"1,243.89","","2011-21-01"
Office Supplies,"1/21/11",Consumer,1,"537.62724","","2011-21-01"
Office Supplies,"1/21/11",Corporate,1,"67.194","","2011-21-01"
Technology,"1/21/11",Consumer,1,"748.9251","","2011-21-01"
Furniture,"1/22/11",Consumer,1,"24.74304","","2011-22-01"
Office Supplies,"1/24/11",Consumer,1,"39.5772","","2011-24-01"
Furniture,"1/27/11",Corporate,1,"123.5052","","2011-27-01"
Furniture,"1/27/11",Home Office,1,"65.4588","","2011-27-01"
Office Supplies,"1/27/11",Corporate,1,"10.2528","","2011-27-01"
Office Supplies,"1/27/11",Home Office,1,"531.3004","","2011-27-01"
Technology,"1/27/11",Home Office,1,"343.33","","2011-27-01"
Furniture,"1/28/11",Consumer,1,"359.64","","2011-28-01"
Office Supplies,"1/28/11",Consumer,1,"86.1764","","2011-28-01"
Office Supplies,"1/29/11",Consumer,1,"3.3388","","2011-29-01"
Office Supplies,"1/31/11",Consumer,1,"262.145","","2011-31-01"
Furniture,"2/1/11",Consumer,1,"308.10596","","2011-01-02"
Technology,"2/2/11",Consumer,1,"506.412","","2011-02-02"
Office Supplies,"2/3/11",Consumer,1,"18.51936","","2011-03-02"
Office Supplies,"2/3/11",Home Office,1,"10.7445","","2011-03-02"
Technology,"2/3/11",Consumer,1,"175.5312","","2011-03-02"
Office Supplies,"2/4/11",Consumer,1,"105.85208","","2011-04-02"
Office Supplies,"2/5/11",Corporate,1,"15.00576","","2011-05-02"
Office Supplies,"2/5/11",Home Office,1,"121.82144","","2011-05-02"
Office Supplies,"2/7/11",Consumer,1,"9.66816","","2011-07-02"
Office Supplies,"2/7/11",Corporate,1,"13.35","","2011-07-02"
Technology,"2/7/11",Corporate,1,"260.576","","2011-07-02"
Office Supplies,"2/8/11",Corporate,1,"71.456","","2011-08-02"
Technology,"2/8/11",Corporate,1,"108.4384","","2011-08-02"
Furniture,"2/9/11",Home Office,1,"12.8128","","2011-09-02"
Furniture,"2/12/11",Consumer,1,"1,534.55","","2011-12-02"
Office Supplies,"2/12/11",Consumer,1,"143.01","","2011-12-02"
Technology,"2/12/11",Consumer,1,"241.4835","","2011-12-02"
Furniture,"2/13/11",Consumer,1,"112.72416","","2011-13-02"
Office Supplies,"2/15/11",Consumer,1,"15.52896","","2011-15-02"
Office Supplies,"2/15/11",Corporate,1,"352.638","","2011-15-02"
Technology,"2/15/11",Corporate,1,"259.1676","","2011-15-02"
Office Supplies,"2/16/11",Corporate,1,"18.156","","2011-16-02"
Office Supplies,"2/17/11",Consumer,1,"8.588","","2011-17-02"
Office Supplies,"2/18/11",Consumer,1,"49.87136","","2011-18-02"
Furniture,"2/19/11",Consumer,1,"22.3924","","2011-19-02"
Office Supplies,"2/19/11",Consumer,1,"11.61408","","2011-19-02"
Furniture,"2/21/11",Corporate,1,"18.6944","","2011-21-02"
Office Supplies,"2/21/11",Home Office,1,"12.0528","","2011-21-02"
Technology,"2/21/11",Corporate,1,"68.541","","2011-21-02"
Office Supplies,"2/22/11",Consumer,1,"8.673","","2011-22-02"
Office Supplies,"2/23/11",Consumer,1,"19.44","","2011-23-02"
Office Supplies,"2/24/11",Home Office,1,"12.5004","","2011-24-02"
Office Supplies,"2/25/11",Consumer,1,"59.56904","","2011-25-02"
Office Supplies,"2/28/11",Consumer,1,"21.01248","","2011-28-02"
Furniture,"3/1/11",Consumer,1,"1,247.28","","2011-01-03"
Furniture,"3/1/11",Home Office,1,"545.33976","","2011-01-03"
Office Supplies,"3/1/11",Consumer,1,"260.02704","","2011-01-03"
Office Supplies,"3/1/11",Home Office,1,"18.86976","","2011-01-03"
Technology,"3/1/11",Home Office,1,"5.4054","","2011-01-03"
Office Supplies,"3/2/11",Corporate,1,"3.38976","","2011-02-03"
Office Supplies,"3/2/11",Home Office,1,"43.4616","","2011-02-03"
Technology,"3/2/11",Corporate,1,"137.592","","2011-02-03"
Furniture,"3/3/11",Consumer,1,"557.45328","","2011-03-03"
Furniture,"3/3/11",Corporate,1,"287.3275","","2011-03-03"
Office Supplies,"3/3/11",Consumer,1,"200.15256","","2011-03-03"
Office Supplies,"3/3/11",Corporate,1,"53.8128","","2011-03-03"
Office Supplies,"3/3/11",Home Office,1,"142.0152","","2011-03-03"
Technology,"3/3/11",Home Office,1,"9.4905","","2011-03-03"
Office Supplies,"3/4/11",Consumer,1,"314.8842","","2011-04-03"
Office Supplies,"3/5/11",Consumer,1,"216.56832","","2011-05-03"
Technology,"3/5/11",Consumer,1,"446.3721","","2011-05-03"
Furniture,"3/7/11",Consumer,1,"49.19912","","2011-07-03"
Furniture,"3/7/11",Corporate,1,"982.55104","","2011-07-03"
Office Supplies,"3/7/11",Consumer,1,"226.9656","","2011-07-03"
Office Supplies,"3/7/11",Corporate,1,"207.506","","2011-07-03"
Office Supplies,"3/7/11",Home Office,1,"115.18336","","2011-07-03"
Office Supplies,"3/10/11",Consumer,1,"749.37556","","2011-10-03"
Furniture,"3/11/11",Consumer,1,"7.6544","","2011-11-03"
Office Supplies,"3/11/11",Consumer,1,"123.54308","","2011-11-03"
Office Supplies,"3/11/11",Corporate,1,"177.87","","2011-11-03"
Technology,"3/11/11",Corporate,1,"645.7672","","2011-11-03"
Furniture,"3/14/11",Home Office,1,"1,219.71","","2011-14-03"
Office Supplies,"3/14/11",Consumer,1,"217.2236","","2011-14-03"
Office Supplies,"3/14/11",Corporate,1,"12.2672","","2011-14-03"
Office Supplies,"3/14/11",Home Office,1,"98.50896","","2011-14-03"
Technology,"3/14/11",Consumer,1,"77.004","","2011-14-03"
Technology,"3/14/11",Home Office,1,"523.1681","","2011-14-03"
Furniture,"3/15/11",Consumer,1,"42.95424","","2011-15-03"
Office Supplies,"3/15/11",Consumer,1,"302.32998","","2011-15-03"
Technology,"3/16/11",Home Office,1,"514.3928","","2011-16-03"
Furniture,"3/17/11",Corporate,1,"3,395.84","","2011-17-03"
Office Supplies,"3/17/11",Consumer,1,"250.34464","","2011-17-03"
Office Supplies,"3/17/11",Corporate,1,"361.22064","","2011-17-03"
Furniture,"3/18/11",Home Office,1,"1,535.57","","2011-18-03"
Office Supplies,"3/18/11",Home Office,1,"1,771.20","","2011-18-03"
