Category,Order Date,Segment,Number of Records,Sales Target,
Office Supplies,1/4/11,Consumer,1,14.96768,
Office Supplies,1/5/11,Home Office,1,299.5824,
Office Supplies,1/6/11,Consumer,1,20.90352,
Furniture,1/7/11,Home Office,1,"2,316.44",
Office Supplies,1/7/11,Consumer,1,16.9128,
Office Supplies,1/7/11,Corporate,1,13.9302,
Office Supplies,1/7/11,Home Office,1,698.8384,
Technology,1/7/11,Home Office,1,"1,067.58",
Furniture,1/8/11,Consumer,1,81.33168,
Office Supplies,1/8/11,Consumer,1,11.0558,
Office Supplies,1/10/11,Consumer,1,8.68992,
Technology,1/10/11,Consumer,1,28.704,
Furniture,1/11/11,Corporate,1,47.2654,
Office Supplies,1/11/11,Corporate,1,2.5143,
Furniture,1/12/11,Consumer,1,8.7472,
Furniture,1/14/11,Consumer,1,791.9451,
Office Supplies,1/14/11,Consumer,1,"1,386.60",
Office Supplies,1/14/11,Corporate,1,570.0628,
Technology,1/14/11,Corporate,1,595.0008,
Furniture,1/15/11,Corporate,1,65.6776,
Technology,1/16/11,Consumer,1,143.952,
Furniture,1/17/11,Consumer,1,109.30944,
Office Supplies,1/17/11,Consumer,1,49.1466,
Technology,1/17/11,Consumer,1,111.78,
Office Supplies,1/19/11,Corporate,1,66.16128,
Furniture,1/20/11,Consumer,1,157.8789,
Office Supplies,1/20/11,Consumer,1,183.32532,
Furniture,1/21/11,Consumer,1,"1,243.89",
Office Supplies,1/21/11,Consumer,1,537.62724,
Office Supplies,1/21/11,Corporate,1,67.194,
Technology,1/21/11,Consumer,1,748.9251,
Furniture,1/22/11,Consumer,1,24.74304,
Office Supplies,1/24/11,Consumer,1,39.5772,
Furniture,1/27/11,Corporate,1,123.5052,
Furniture,1/27/11,Home Office,1,65.4588,
Office Supplies,1/27/11,Corporate,1,10.2528,
Office Supplies,1/27/11,Home Office,1,531.3004,
Technology,1/27/11,Home Office,1,343.33,
Furniture,1/28/11,Consumer,1,359.64,
Office Supplies,1/28/11,Consumer,1,86.1764,
Office Supplies,1/29/11,Consumer,1,3.3388,
Office Supplies,1/31/11,Consumer,1,262.145,
Furniture,2/1/11,Consumer,1,308.10596,
Technology,2/2/11,Consumer,1,506.412,
Office Supplies,2/3/11,Consumer,1,18.51936,
Office Supplies,2/3/11,Home Office,1,10.7445,
Technology,2/3/11,Consumer,1,175.5312,
Office Supplies,2/4/11,Consumer,1,105.85208,
Office Supplies,2/5/11,Corporate,1,15.00576,
Office Supplies,2/5/11,Home Office,1,121.82144,
Office Supplies,2/7/11,Consumer,1,9.66816,
Office Supplies,2/7/11,Corporate,1,13.35,
Technology,2/7/11,Corporate,1,260.576,
Office Supplies,2/8/11,Corporate,1,71.456,
Technology,2/8/11,Corporate,1,108.4384,
Furniture,2/9/11,Home Office,1,12.8128,
Furniture,2/12/11,Consumer,1,"1,534.55",
Office Supplies,2/12/11,Consumer,1,143.01,
Technology,2/12/11,Consumer,1,241.4835,
Furniture,2/13/11,Consumer,1,112.72416,
Office Supplies,2/15/11,Consumer,1,15.52896,
Office Supplies,2/15/11,Corporate,1,352.638,
Technology,2/15/11,Corporate,1,259.1676,
Office Supplies,2/16/11,Corporate,1,18.156,
Office Supplies,2/17/11,Consumer,1,8.588,
Office Supplies,2/18/11,Consumer,1,49.87136,
Furniture,2/19/11,Consumer,1,22.3924,
Office Supplies,2/19/11,Consumer,1,11.61408,
Furniture,2/21/11,Corporate,1,18.6944,
Office Supplies,2/21/11,Home Office,1,12.0528,
Technology,2/21/11,Corporate,1,68.541,
Office Supplies,2/22/11,Consumer,1,8.673,
Office Supplies,2/23/11,Consumer,1,19.44,
Office Supplies,2/24/11,Home Office,1,12.5004,
Office Supplies,2/25/11,Consumer,1,59.56904,
Office Supplies,2/28/11,Consumer,1,21.01248,
Furniture,3/1/11,Consumer,1,"1,247.28",
Furniture,3/1/11,Home Office,1,545.33976,
Office Supplies,3/1/11,Consumer,1,260.02704,
Office Supplies,3/1/11,Home Office,1,18.86976,
Technology,3/1/11,Home Office,1,5.4054,
Office Supplies,3/2/11,Corporate,1,3.38976,
Office Supplies,3/2/11,Home Office,1,43.4616,
Technology,3/2/11,Corporate,1,137.592,
Furniture,3/3/11,Consumer,1,557.45328,
Furniture,3/3/11,Corporate,1,287.3275,
Office Supplies,3/3/11,Consumer,1,200.15256,
Office Supplies,3/3/11,Corporate,1,53.8128,
Office Supplies,3/3/11,Home Office,1,142.0152,
Technology,3/3/11,Home Office,1,9.4905,
Office Supplies,3/4/11,Consumer,1,314.8842,
Office Supplies,3/5/11,Consumer,1,216.56832,
Technology,3/5/11,Consumer,1,446.3721,
Furniture,3/7/11,Consumer,1,49.19912,
Furniture,3/7/11,Corporate,1,982.55104,
Office Supplies,3/7/11,Consumer,1,226.9656,
Office Supplies,3/7/11,Corporate,1,207.506,
Office Supplies,3/7/11,Home Office,1,115.18336,
Office Supplies,3/10/11,Consumer,1,749.37556,
Furniture,3/11/11,Consumer,1,7.6544,
Office Supplies,3/11/11,Consumer,1,123.54308,
Office Supplies,3/11/11,Corporate,1,177.87,
Technology,3/11/11,Corporate,1,645.7672,
Furniture,3/14/11,Home Office,1,"1,219.71",
Office Supplies,3/14/11,Consumer,1,217.2236,
Office Supplies,3/14/11,Corporate,1,12.2672,
Office Supplies,3/14/11,Home Office,1,98.50896,
Technology,3/14/11,Consumer,1,77.004,
Technology,3/14/11,Home Office,1,523.1681,
Furniture,3/15/11,Consumer,1,42.95424,
Office Supplies,3/15/11,Consumer,1,302.32998,
Technology,3/16/11,Home Office,1,514.3928,
Furniture,3/17/11,Corporate,1,"3,395.84",
Office Supplies,3/17/11,Consumer,1,250.34464,
Office Supplies,3/17/11,Corporate,1,361.22064,
Furniture,3/18/11,Home Office,1,"1,535.57",
Office Supplies,3/18/11,Home Office,1,"1,771.20",
Technology,3/18/11,Home Office,1,"25,729.34",
Furniture,3/19/11,Corporate,1,21.50688,
Office Supplies,3/19/11,Corporate,1,65.81496,
Technology,3/19/11,Corporate,1,444.7944,
Furniture,3/21/11,Consumer,1,216.14208,
Office Supplies,3/21/11,Consumer,1,79.19504,
Office Supplies,3/21/11,Corporate,1,311.63318,
Technology,3/21/11,Corporate,1,"3,079.94",
Furniture,3/22/11,Corporate,1,314.352,
Office Supplies,3/22/11,Consumer,1,79.15845,
Office Supplies,3/22/11,Corporate,1,76.58256,
Office Supplies,3/23/11,Consumer,1,330.10264,
Technology,3/23/11,Consumer,1,622.89456,
Furniture,3/24/11,Consumer,1,37.2416,
Office Supplies,3/24/11,Consumer,1,22.908,
Furniture,3/25/11,Consumer,1,341.11098,
Office Supplies,3/25/11,Consumer,1,42.192,
Technology,3/25/11,Consumer,1,45.9348,
Office Supplies,3/26/11,Consumer,1,15.9375,
Office Supplies,3/26/11,Corporate,1,33.17376,
Technology,3/26/11,Corporate,1,83.67392,
Furniture,3/28/11,Consumer,1,"1,101.79",
Furniture,3/28/11,Home Office,1,327.28212,
Office Supplies,3/28/11,Consumer,1,6.5484,
Technology,3/28/11,Home Office,1,314.47104,
Furniture,3/29/11,Consumer,1,917.56623,
Furniture,3/30/11,Consumer,1,211.83598,
Furniture,3/30/11,Home Office,1,113.29878,
Office Supplies,3/30/11,Consumer,1,184.3185,
Office Supplies,3/30/11,Corporate,1,65.0808,
Office Supplies,3/30/11,Home Office,1,342.4344,
Technology,3/30/11,Home Office,1,219.19128,
Furniture,3/31/11,Consumer,1,"1,193.02",
Office Supplies,3/31/11,Consumer,1,827.4321,
Office Supplies,3/31/11,Corporate,1,1.98114,
Technology,3/31/11,Consumer,1,77.58448,
Office Supplies,4/1/11,Consumer,1,46.22112,
Office Supplies,4/1/11,Corporate,1,62.952,
Furniture,4/2/11,Corporate,1,181.2336,
Office Supplies,4/2/11,Consumer,1,242.4954,
Technology,4/2/11,Consumer,1,892.4405,
Office Supplies,4/3/11,Corporate,1,12.1644,
Technology,4/3/11,Corporate,1,237.8503,
Furniture,4/4/11,Consumer,1,5.3606,
Office Supplies,4/4/11,Consumer,1,87.296,
Office Supplies,4/4/11,Corporate,1,277.57668,
Office Supplies,4/4/11,Home Office,1,17.199,
Technology,4/4/11,Corporate,1,95.9808,
Office Supplies,4/5/11,Consumer,1,832.2588,
Office Supplies,4/5/11,Corporate,1,"4,795.22",
Office Supplies,4/5/11,Home Office,1,54.3704,
Technology,4/5/11,Corporate,1,31.5991,
Furniture,4/6/11,Corporate,1,763.0476,
Furniture,4/6/11,Home Office,1,157.85928,
Office Supplies,4/6/11,Corporate,1,240.96712,
Office Supplies,4/6/11,Home Office,1,9.68576,
Technology,4/6/11,Corporate,1,307.1604,
Technology,4/6/11,Home Office,1,108.60912,
Furniture,4/7/11,Consumer,1,9.1392,
Office Supplies,4/7/11,Corporate,1,119.2809,
Office Supplies,4/7/11,Home Office,1,51.9048,
Technology,4/7/11,Corporate,1,535.4575,
Technology,4/7/11,Home Office,1,198.9603,
Furniture,4/8/11,Consumer,1,161.7834,
Furniture,4/8/11,Corporate,1,"1,167.28",
Furniture,4/8/11,Home Office,1,108.55528,
Office Supplies,4/8/11,Corporate,1,19.2384,
Office Supplies,4/8/11,Home Office,1,43.81696,
Technology,4/8/11,Home Office,1,339.966,
Office Supplies,4/11/11,Consumer,1,109.38624,
Technology,4/11/11,Consumer,1,928.22016,
Technology,4/11/11,Home Office,1,720.4344,
Furniture,4/12/11,Corporate,1,311.58399,
Office Supplies,4/12/11,Consumer,1,33.696,
Office Supplies,4/12/11,Corporate,1,57.768,
Technology,4/12/11,Corporate,1,"1,437.78",
Office Supplies,4/13/11,Corporate,1,547.64164,
Office Supplies,4/13/11,Home Office,1,8.4564,
Technology,4/13/11,Corporate,1,76.24368,
Furniture,4/15/11,Home Office,1,163.3512,
Office Supplies,4/15/11,Home Office,1,91.9856,
Office Supplies,4/16/11,Corporate,1,38.68128,
Furniture,4/18/11,Consumer,1,304.37568,
Office Supplies,4/18/11,Consumer,1,166.9017,
Technology,4/18/11,Consumer,1,443.71184,
Furniture,4/19/11,Home Office,1,76.14,
Office Supplies,4/19/11,Consumer,1,140.9697,
Furniture,4/20/11,Consumer,1,"1,326.17",
Office Supplies,4/20/11,Consumer,1,38.114,
Office Supplies,4/21/11,Consumer,1,16.1896,
Office Supplies,4/21/11,Corporate,1,828.84,
Office Supplies,4/22/11,Corporate,1,257.752,
Furniture,4/23/11,Home Office,1,614.334,
Office Supplies,4/23/11,Corporate,1,2.35188,
Office Supplies,4/23/11,Home Office,1,51.32218,
Furniture,4/25/11,Home Office,1,"1,772.39",
Office Supplies,4/25/11,Home Office,1,313.18752,
Technology,4/25/11,Consumer,1,287.2572,
Furniture,4/26/11,Corporate,1,216.4632,
Office Supplies,4/26/11,Corporate,1,16.82496,
Office Supplies,4/26/11,Home Office,1,34.68,
Office Supplies,4/28/11,Corporate,1,731.15064,
Technology,4/28/11,Consumer,1,"1,629.56",
Technology,4/28/11,Corporate,1,159.98,
Furniture,4/29/11,Consumer,1,63.1722,
Furniture,4/29/11,Corporate,1,578.43152,
Office Supplies,4/29/11,Consumer,1,15.7872,
Office Supplies,4/29/11,Corporate,1,104.916,
Technology,4/29/11,Consumer,1,19.98,
Office Supplies,4/30/11,Consumer,1,"1,030.98",
Technology,4/30/11,Consumer,1,51.1353,
Office Supplies,5/2/11,Consumer,1,24.8292,
Technology,5/2/11,Consumer,1,422.38592,
Office Supplies,5/3/11,Consumer,1,47.49696,
Office Supplies,5/3/11,Home Office,1,23.5004,
Furniture,5/4/11,Consumer,1,24.9886,
Furniture,5/4/11,Corporate,1,10.4748,
Office Supplies,5/4/11,Consumer,1,90.112,
Office Supplies,5/4/11,Corporate,1,61.7176,
Furniture,5/5/11,Consumer,1,124.03293,
Office Supplies,5/5/11,Consumer,1,37.7022,
Office Supplies,5/5/11,Corporate,1,80.53416,
Office Supplies,5/6/11,Home Office,1,267.1788,
Furniture,5/7/11,Consumer,1,959.913,
Office Supplies,5/7/11,Consumer,1,23.0454,
Technology,5/8/11,Consumer,1,"1,619.97",
Office Supplies,5/9/11,Corporate,1,147.6003,
Technology,5/9/11,Consumer,1,228.6969,
Furniture,5/10/11,Consumer,1,521.80414,
Office Supplies,5/10/11,Consumer,1,222.2325,
Technology,5/10/11,Consumer,1,"1,416.58",
Furniture,5/11/11,Consumer,1,61.48416,
Furniture,5/11/11,Corporate,1,"1,031.02",
Office Supplies,5/11/11,Corporate,1,33.3963,
Office Supplies,5/11/11,Home Office,1,124.49304,
Technology,5/11/11,Consumer,1,195.4796,
Furniture,5/12/11,Consumer,1,639.31602,
Furniture,5/13/11,Corporate,1,296.22336,
Office Supplies,5/13/11,Consumer,1,59.94,
Office Supplies,5/13/11,Corporate,1,7.92,
Office Supplies,5/13/11,Home Office,1,417.61968,
Technology,5/13/11,Consumer,1,151.4697,
Furniture,5/14/11,Corporate,1,341.968,
Furniture,5/16/11,Corporate,1,204.9344,
Technology,5/16/11,Consumer,1,50.196,
Office Supplies,5/17/11,Home Office,1,85.2624,
Furniture,5/18/11,Consumer,1,126.8472,
Office Supplies,5/18/11,Consumer,1,17.3304,
Technology,5/18/11,Consumer,1,725.21028,
Office Supplies,5/19/11,Consumer,1,81.5418,
Furniture,5/20/11,Corporate,1,130.66704,
Office Supplies,5/20/11,Corporate,1,128.25008,
Technology,5/20/11,Corporate,1,20.99184,
Furniture,5/21/11,Consumer,1,93.76164,
Office Supplies,5/21/11,Consumer,1,78.34464,
Office Supplies,5/21/11,Corporate,1,"2,634.45",
Office Supplies,5/21/11,Home Office,1,788.1312,
Technology,5/21/11,Corporate,1,624.1497,
Technology,5/22/11,Consumer,1,168.2649,
Office Supplies,5/23/11,Consumer,1,295.427,
Technology,5/23/11,Consumer,1,50.22108,
Office Supplies,5/24/11,Consumer,1,108.1404,
Furniture,5/25/11,Consumer,1,27.5608,
Office Supplies,5/25/11,Consumer,1,87.5134,
Furniture,5/26/11,Consumer,1,561.66528,
Furniture,5/26/11,Corporate,1,316.82594,
Office Supplies,5/26/11,Consumer,1,116.016,
Office Supplies,5/26/11,Home Office,1,44.044,
Technology,5/26/11,Corporate,1,302.70208,
Furniture,5/27/11,Corporate,1,510.408,
Office Supplies,5/27/11,Consumer,1,15.1902,
Office Supplies,5/27/11,Corporate,1,355.7268,
Technology,5/27/11,Consumer,1,"1,298.44",
Office Supplies,5/28/11,Consumer,1,138.3296,
Technology,5/28/11,Corporate,1,87.55824,
Furniture,5/30/11,Consumer,1,312.8004,
Office Supplies,5/30/11,Consumer,1,76.70112,
Office Supplies,5/30/11,Corporate,1,308.81172,
Technology,5/30/11,Corporate,1,"1,160.30",
Technology,5/31/11,Consumer,1,781.437,
Furniture,6/1/11,Consumer,1,20.202,
Furniture,6/1/11,Home Office,1,"2,141.99",
Office Supplies,6/1/11,Corporate,1,193.876,
Office Supplies,6/1/11,Home Office,1,"1,808.25",
Technology,6/1/11,Consumer,1,890.7493,
Furniture,6/2/11,Home Office,1,62.322,
Office Supplies,6/2/11,Consumer,1,347.225,
Office Supplies,6/2/11,Home Office,1,61.60224,
Technology,6/2/11,Consumer,1,218.3727,
Furniture,6/3/11,Consumer,1,496.58464,
Office Supplies,6/3/11,Consumer,1,156.0636,
Office Supplies,6/3/11,Home Office,1,15.1272,
Furniture,6/4/11,Consumer,1,458.44704,
Office Supplies,6/4/11,Consumer,1,16.6492,
Office Supplies,6/4/11,Home Office,1,17.35968,
Furniture,6/6/11,Corporate,1,"1,090.94",
Office Supplies,6/6/11,Consumer,1,126.8443,
Office Supplies,6/6/11,Corporate,1,161.68348,
Office Supplies,6/6/11,Home Office,1,99.2376,
Furniture,6/7/11,Consumer,1,236.6628,
Office Supplies,6/7/11,Corporate,1,13.45896,
Furniture,6/8/11,Consumer,1,614.8296,
Furniture,6/8/11,Corporate,1,158.42736,
Office Supplies,6/8/11,Consumer,1,"1,745.36",
Furniture,6/9/11,Consumer,1,"2,908.67",
Furniture,6/9/11,Corporate,1,38.148,
Office Supplies,6/9/11,Consumer,1,167.72112,
Office Supplies,6/9/11,Corporate,1,91.368,
Office Supplies,6/9/11,Home Office,1,75.99744,
Technology,6/9/11,Consumer,1,"1,891.32",
Technology,6/9/11,Home Office,1,70.53648,
Office Supplies,6/10/11,Corporate,1,481.719,
Office Supplies,6/13/11,Corporate,1,13.794,
Furniture,6/14/11,Home Office,1,208.6812,
Furniture,6/15/11,Corporate,1,960.71234,
Office Supplies,6/15/11,Consumer,1,39.10208,
Office Supplies,6/15/11,Corporate,1,8.48232,
Furniture,6/16/11,Consumer,1,693.1888,
Office Supplies,6/16/11,Consumer,1,102.03776,
Furniture,6/17/11,Consumer,1,6.6768,
Office Supplies,6/17/11,Consumer,1,"3,312.83",
Technology,6/17/11,Consumer,1,62.6715,
Technology,6/18/11,Consumer,1,132.81,
Furniture,6/20/11,Consumer,1,183.41232,
Office Supplies,6/20/11,Consumer,1,"1,005.35",
Technology,6/20/11,Consumer,1,564.54944,
Furniture,6/21/11,Consumer,1,116.63352,
Office Supplies,6/21/11,Consumer,1,271.2752,
Technology,6/21/11,Consumer,1,"4,043.01",
Furniture,6/22/11,Consumer,1,"1,003.51",
Office Supplies,6/22/11,Consumer,1,698.85504,
Technology,6/22/11,Consumer,1,293.5107,
Office Supplies,6/23/11,Consumer,1,21.964,
Technology,6/23/11,Consumer,1,75.14712,
Furniture,6/24/11,Consumer,1,4.01568,
Furniture,6/25/11,Corporate,1,470.232,
Office Supplies,6/25/11,Corporate,1,73.6736,
Technology,6/25/11,Corporate,1,248.1224,
Furniture,6/27/11,Consumer,1,85.98,
Office Supplies,6/27/11,Consumer,1,318.448,
Technology,6/27/11,Consumer,1,223.96,
Furniture,6/28/11,Consumer,1,"1,081.05",
Office Supplies,6/28/11,Consumer,1,394.79616,
Office Supplies,6/28/11,Corporate,1,6.4448,
Office Supplies,6/29/11,Consumer,1,41.0784,
Office Supplies,6/30/11,Consumer,1,712.79136,
Office Supplies,6/30/11,Corporate,1,80.42832,
Office Supplies,7/1/11,Corporate,1,23.09568,
Technology,7/1/11,Corporate,1,593.1976,
Office Supplies,7/2/11,Consumer,1,5.1894,
Technology,7/2/11,Consumer,1,78.4188,
Office Supplies,7/4/11,Consumer,1,34.4448,
Office Supplies,7/4/11,Corporate,1,178.4728,
Furniture,7/5/11,Corporate,1,253.68224,
Office Supplies,7/5/11,Consumer,1,579.1608,
Office Supplies,7/5/11,Corporate,1,15.45402,
Office Supplies,7/5/11,Home Office,1,191.8176,
Technology,7/5/11,Consumer,1,475.1703,
Furniture,7/6/11,Home Office,1,464.1256,
Technology,7/6/11,Consumer,1,498.39288,
Furniture,7/7/11,Consumer,1,205.0149,
Furniture,7/8/11,Consumer,1,55.57734,
Furniture,7/8/11,Corporate,1,522.58752,
Office Supplies,7/8/11,Corporate,1,180.96768,
Furniture,7/9/11,Home Office,1,127.02298,
Office Supplies,7/9/11,Corporate,1,22.7424,
Office Supplies,7/9/11,Home Office,1,102.8228,
Furniture,7/11/11,Corporate,1,900.726,
Office Supplies,7/11/11,Consumer,1,81.6564,
Office Supplies,7/11/11,Corporate,1,182.02,
Technology,7/11/11,Consumer,1,651.91984,
Technology,7/11/11,Corporate,1,184.1121,
Furniture,7/12/11,Consumer,1,120.67328,
Furniture,7/12/11,Corporate,1,768.1872,
Furniture,7/12/11,Home Office,1,543.09948,
Office Supplies,7/12/11,Consumer,1,47.5912,
Office Supplies,7/12/11,Corporate,1,7.09504,
Office Supplies,7/12/11,Home Office,1,320.7138,
